nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
OFSS,2015Q1,0.0,,,,
OFSS,2015Q2,0.0,,,,
OFSS,2015Q3,74.33,,,,
OFSS,2015Q4,0.0,,,,
OFSS,2016Q1,74.26,,,,
OFSS,2016Q2,74.16,,,,
OFSS,2016Q3,74.13,,,,
OFSS,2016Q4,74.3,,,,
OFSS,2017Q1,73.92,,,,
OFSS,2017Q2,73.91,,,,
OFSS,2017Q3,73.85,,,,
OFSS,2017Q4,74.09,,,,
OFSS,2018Q1,73.79,,,,
OFSS,2018Q2,73.55,,,,
OFSS,2018Q3,73.53,,,,
OFSS,2018Q4,73.82,,,,
OFSS,2019Q1,73.48,,,,
OFSS,2019Q2,73.45,,,,
OFSS,2019Q3,73.44,0.0,0.0,0.0,
OFSS,2019Q4,73.5,,,,
OFSS,2020Q1,73.35,0.0,0.0,0.0,
OFSS,2020Q2,73.32,0.0,0.0,0.0,
OFSS,2020Q3,73.28,0.0,0.0,0.0,
OFSS,2020Q4,73.42,0.0,0.0,0.0,
OFSS,2021Q1,73.21,0.0,0.0,0.0,
OFSS,2021Q2,73.15,0.0,0.0,0.0,
OFSS,2021Q3,73.12,0.0,0.0,0.0,
OFSS,2021Q4,73.26,0.0,0.0,0.0,
OFSS,2022Q1,73.02,0.0,0.0,0.0,
OFSS,2022Q2,73.0,0.0,0.0,0.0,
OFSS,2022Q3,72.99,0.0,0.0,0.0,
OFSS,2022Q4,73.11,,,,
OFSS,2023Q1,72.9,0.0,0.0,0.0,
OFSS,2023Q2,72.81,0.0,0.0,0.0,
OFSS,2023Q3,72.78,0.0,0.0,0.0,
OFSS,2023Q4,72.98,0.0,0.0,0.0,
OFSS,2024Q1,72.71,0.0,0.0,0.0,
OFSS,2024Q2,72.69,0.0,0.0,0.0,
OFSS,2024Q3,72.62,0.0,0.0,0.0,
OFSS,2024Q4,72.75,0.0,0.0,0.0,
OFSS,2025Q1,72.56,,,,
OFSS,2025Q2,72.53,,,,
OFSS,2025Q3,72.46,,,,
OFSS,2025Q4,72.59,0.0,0.0,0.0,
OFSS,2026Q4,72.44,,,,
