nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
OIL,2015Q1,0.0,,,,
OIL,2015Q2,0.0,,,,
OIL,2015Q3,67.64,,,,
OIL,2015Q4,0.0,,,,
OIL,2016Q1,67.64,,,,
OIL,2016Q2,67.64,,,,
OIL,2016Q3,67.64,,,,
OIL,2016Q4,67.64,,,,
OIL,2017Q1,66.13,,,,
OIL,2017Q2,66.13,,,,
OIL,2017Q3,66.13,,,,
OIL,2017Q4,66.6,,,,
OIL,2018Q1,66.13,,,,
OIL,2018Q2,66.13,,,,
OIL,2018Q3,63.2,,,,
OIL,2018Q4,66.13,,,,
OIL,2019Q1,61.61,,,,
OIL,2019Q2,59.57,,,,
OIL,2019Q3,59.57,0.0,0.0,0.0,
OIL,2019Q4,61.61,,,,
OIL,2020Q1,56.66,0.0,0.0,0.0,
OIL,2020Q2,56.66,0.0,0.0,0.0,
OIL,2020Q3,56.66,0.0,0.0,0.0,
OIL,2020Q4,56.66,0.0,0.0,0.0,
OIL,2021Q1,56.66,0.0,0.0,0.0,
OIL,2021Q2,56.66,0.0,0.0,0.0,
OIL,2021Q3,56.66,0.0,0.0,0.0,
OIL,2021Q4,56.66,0.0,0.0,0.0,
OIL,2022Q1,56.66,0.0,0.0,0.0,
OIL,2022Q2,56.66,0.0,0.0,0.0,
OIL,2022Q3,56.66,0.0,0.0,0.0,
OIL,2022Q4,56.66,0.0,0.0,0.0,
OIL,2023Q1,56.66,0.0,0.0,0.0,
OIL,2023Q2,56.66,0.0,0.0,0.0,
OIL,2023Q3,56.66,0.0,0.0,0.0,
OIL,2023Q4,56.66,0.0,0.0,0.0,
OIL,2024Q1,56.66,0.0,0.0,0.0,
OIL,2024Q2,56.66,0.0,0.0,0.0,
OIL,2024Q3,56.66,0.0,0.0,0.0,
OIL,2024Q4,56.66,0.0,0.0,0.0,
OIL,2025Q1,56.66,,,,
OIL,2025Q2,56.66,,,,
OIL,2025Q3,56.66,,,,
OIL,2025Q4,56.66,0.0,0.0,0.0,
OIL,2026Q4,56.66,,,,
