nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
PFIZER,2015Q1,0.0,,,,
PFIZER,2015Q2,0.0,,,,
PFIZER,2015Q3,63.92,,,,
PFIZER,2015Q4,0.0,,,,
PFIZER,2016Q1,63.92,,,,
PFIZER,2016Q2,63.92,,,,
PFIZER,2016Q3,63.92,,,,
PFIZER,2016Q4,63.92,,,,
PFIZER,2017Q1,63.92,,,,
PFIZER,2017Q2,63.92,,,,
PFIZER,2017Q3,63.92,,,,
PFIZER,2017Q4,63.92,,,,
PFIZER,2018Q1,63.92,,,,
PFIZER,2018Q2,63.92,,,,
PFIZER,2018Q3,63.92,,,,
PFIZER,2018Q4,63.92,,,,
PFIZER,2019Q1,63.92,,,,
PFIZER,2019Q2,63.92,,,,
PFIZER,2019Q3,63.92,0.0,0.0,0.0,
PFIZER,2019Q4,63.92,,,,
PFIZER,2020Q1,63.92,0.0,0.0,0.0,
PFIZER,2020Q2,63.92,0.0,0.0,0.0,
PFIZER,2020Q3,63.92,0.0,0.0,0.0,
PFIZER,2020Q4,63.92,0.0,0.0,0.0,
PFIZER,2021Q1,63.92,0.0,0.0,0.0,
PFIZER,2021Q2,63.92,0.0,0.0,0.0,
PFIZER,2021Q3,63.92,0.0,0.0,0.0,
PFIZER,2021Q4,63.92,0.0,0.0,0.0,
PFIZER,2022Q1,63.92,0.0,0.0,0.0,
PFIZER,2022Q2,63.92,0.0,0.0,0.0,
PFIZER,2022Q3,63.92,0.0,0.0,0.0,
PFIZER,2022Q4,63.92,0.0,0.0,0.0,
PFIZER,2023Q1,63.92,0.0,0.0,0.0,
PFIZER,2023Q2,63.92,0.0,0.0,0.0,
PFIZER,2023Q3,63.92,0.0,0.0,0.0,
PFIZER,2023Q4,63.92,0.0,0.0,0.0,
PFIZER,2024Q1,63.92,0.0,0.0,0.0,
PFIZER,2024Q2,63.92,0.0,0.0,0.0,
PFIZER,2024Q3,63.92,0.0,0.0,0.0,
PFIZER,2024Q4,63.92,0.0,0.0,0.0,
PFIZER,2025Q1,63.92,,,,
PFIZER,2025Q2,63.92,,,,
PFIZER,2025Q3,63.92,,,,
PFIZER,2025Q4,63.92,0.0,0.0,0.0,
PFIZER,2026Q4,63.92,,,,
