nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
POLYCAB,2019Q1,68.69,,,,
POLYCAB,2019Q2,68.69,,,,
POLYCAB,2019Q3,68.6,0.0,0.0,0.0,
POLYCAB,2020Q1,68.55,0.0,0.0,0.0,
POLYCAB,2020Q2,68.54,0.0,0.0,0.0,
POLYCAB,2020Q3,68.45,0.0,0.0,0.0,
POLYCAB,2020Q4,68.58,0.0,0.0,0.0,
POLYCAB,2021Q1,68.4,0.0,0.0,0.0,
POLYCAB,2021Q2,68.36,0.0,0.0,0.0,
POLYCAB,2021Q3,68.15,0.0,0.0,0.0,
POLYCAB,2021Q4,68.43,0.0,0.0,0.0,
POLYCAB,2022Q1,67.99,0.0,0.0,0.0,
POLYCAB,2022Q2,67.97,0.0,0.0,0.0,
POLYCAB,2022Q3,66.61,0.0,0.0,0.0,
POLYCAB,2022Q4,68.08,0.0,0.0,0.0,
POLYCAB,2023Q1,65.99,0.0,0.0,0.0,
POLYCAB,2023Q2,65.91,0.0,0.0,0.0,
POLYCAB,2023Q3,65.79,0.0,0.0,0.0,
POLYCAB,2023Q4,66.2,0.0,0.0,0.0,
POLYCAB,2024Q1,65.02,0.0,0.0,0.0,
POLYCAB,2024Q2,63.06,0.0,0.0,0.0,
POLYCAB,2024Q3,63.05,0.0,0.0,0.0,
POLYCAB,2024Q4,65.24,0.0,0.0,0.0,
POLYCAB,2025Q1,63.01,,,,
POLYCAB,2025Q2,61.52,,,,
POLYCAB,2025Q3,61.5,,,,
POLYCAB,2025Q4,63.04,0.0,0.0,0.0,
