nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
POWERGRID,2015Q1,0.0,,,,
POWERGRID,2015Q2,0.0,,,,
POWERGRID,2015Q3,57.9,,,,
POWERGRID,2015Q4,0.0,,,,
POWERGRID,2016Q1,57.9,,,,
POWERGRID,2016Q2,57.9,,,,
POWERGRID,2016Q3,57.9,,,,
POWERGRID,2016Q4,57.9,,,,
POWERGRID,2017Q1,57.9,,,,
POWERGRID,2017Q2,57.9,,,,
POWERGRID,2017Q3,56.91,,,,
POWERGRID,2017Q4,57.9,,,,
POWERGRID,2018Q1,56.27,,,,
POWERGRID,2018Q2,56.34,,,,
POWERGRID,2018Q3,56.34,,,,
POWERGRID,2018Q4,56.91,,,,
POWERGRID,2019Q1,55.37,,,,
POWERGRID,2019Q2,55.37,,,,
POWERGRID,2019Q3,54.96,0.0,0.0,0.0,
POWERGRID,2019Q4,55.37,,,,
POWERGRID,2020Q1,51.34,0.0,0.0,0.0,
POWERGRID,2020Q2,51.34,0.0,0.0,0.0,
POWERGRID,2020Q3,51.34,0.0,0.0,0.0,
POWERGRID,2020Q4,51.34,0.0,0.0,0.0,
POWERGRID,2021Q1,51.34,0.0,0.0,0.0,
POWERGRID,2021Q2,51.34,0.0,0.0,0.0,
POWERGRID,2021Q3,51.34,0.0,0.0,0.0,
POWERGRID,2021Q4,51.34,0.0,0.0,0.0,
POWERGRID,2022Q1,51.34,0.0,0.0,0.0,
POWERGRID,2022Q2,51.34,0.0,0.0,0.0,
POWERGRID,2022Q3,51.34,0.0,0.0,0.0,
POWERGRID,2022Q4,51.34,0.0,0.0,0.0,
POWERGRID,2023Q1,51.34,0.0,0.0,0.0,
POWERGRID,2023Q2,51.34,0.0,0.0,0.0,
POWERGRID,2023Q3,51.34,0.0,0.0,0.0,
POWERGRID,2023Q4,51.34,0.0,0.0,0.0,
POWERGRID,2024Q1,51.34,0.0,0.0,0.0,
POWERGRID,2024Q2,51.34,0.0,0.0,0.0,
POWERGRID,2024Q3,51.34,0.0,0.0,0.0,
POWERGRID,2024Q4,51.34,0.0,0.0,0.0,
POWERGRID,2025Q1,51.34,,,,
POWERGRID,2025Q2,51.34,,,,
POWERGRID,2025Q3,51.34,,,,
POWERGRID,2025Q4,51.34,0.0,0.0,0.0,
POWERGRID,2026Q4,51.34,,,,
