nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
PVRINOX,2015Q1,0.0,,,,
PVRINOX,2015Q2,0.0,,,,
PVRINOX,2015Q3,26.03,,,,
PVRINOX,2015Q4,0.0,,,,
PVRINOX,2016Q1,25.26,,,,
PVRINOX,2016Q2,25.25,,,,
PVRINOX,2016Q3,25.25,,,,
PVRINOX,2016Q4,25.73,,,,
PVRINOX,2017Q1,20.25,,,,
PVRINOX,2017Q2,20.25,,,,
PVRINOX,2017Q3,20.25,,,,
PVRINOX,2017Q4,20.15,,,,
PVRINOX,2018Q1,20.25,,,,
PVRINOX,2018Q2,20.25,,,,
PVRINOX,2018Q3,20.25,,,,
PVRINOX,2018Q4,19.93,,,,
PVRINOX,2019Q1,20.24,,,,
PVRINOX,2019Q2,19.57,,,,
PVRINOX,2019Q3,18.41,,,,
PVRINOX,2019Q4,20.25,,,,
PVRINOX,2020Q1,18.56,0.0,0.0,0.0,
PVRINOX,2020Q2,18.79,0.0,0.0,0.0,
PVRINOX,2020Q3,18.79,0.0,0.0,0.0,
PVRINOX,2020Q4,18.54,0.0,0.0,0.0,
PVRINOX,2021Q1,17.06,0.0,0.0,0.0,
PVRINOX,2021Q2,17.04,0.0,0.0,0.0,
PVRINOX,2021Q3,17.02,0.0,0.0,0.0,
PVRINOX,2021Q4,17.06,0.0,0.0,0.0,
PVRINOX,2022Q1,16.99,655000.0,37.1395,6.31,
PVRINOX,2022Q2,16.97,655000.0,37.1833,6.31,
PVRINOX,2022Q3,16.94,655000.0,37.2491,6.31,
PVRINOX,2022Q4,17.01,655000.0,37.0958,6.31,
PVRINOX,2023Q1,27.61,1140000.0,15.2481,4.21,
PVRINOX,2023Q2,27.84,1140000.0,14.9784,4.17,
PVRINOX,2023Q3,27.84,1140000.0,14.9784,4.17,
PVRINOX,2023Q4,27.46,655000.0,8.8857,2.44,
PVRINOX,2024Q1,27.84,1600000.0,21.0489,5.86,
PVRINOX,2024Q2,27.49,1600000.0,21.5715,5.93,
PVRINOX,2024Q3,27.49,1600000.0,21.5715,5.93,
PVRINOX,2024Q4,27.84,1440000.0,18.9296,5.27,
PVRINOX,2025Q1,27.53,,,,
PVRINOX,2025Q2,27.53,,,,
PVRINOX,2025Q3,27.53,,,,
PVRINOX,2025Q4,27.53,2750000.0,36.9415,10.17,
PVRINOX,2026Q4,27.53,,,,
