nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
RAMCOCEM,2015Q1,0.0,,,,
RAMCOCEM,2015Q2,0.0,,,,
RAMCOCEM,2015Q3,42.3,,,,
RAMCOCEM,2015Q4,0.0,,,,
RAMCOCEM,2016Q1,42.3,,,,
RAMCOCEM,2016Q2,42.3,,,,
RAMCOCEM,2016Q3,42.3,,,,
RAMCOCEM,2016Q4,42.3,,,,
RAMCOCEM,2017Q1,42.67,,,,
RAMCOCEM,2017Q2,42.75,,,,
RAMCOCEM,2017Q3,42.75,,,,
RAMCOCEM,2017Q4,42.3,,,,
RAMCOCEM,2018Q1,42.75,1980000.0,4.6082,1.97,
RAMCOCEM,2018Q2,42.75,1975000.0,4.5848,1.96,
RAMCOCEM,2018Q3,42.75,1975000.0,4.5848,1.96,
RAMCOCEM,2018Q4,42.75,,,,
RAMCOCEM,2019Q1,42.75,1975000.0,4.5848,1.96,
RAMCOCEM,2019Q2,42.66,1975000.0,4.6179,1.97,
RAMCOCEM,2019Q3,42.67,1975000.0,4.6168,1.97,
RAMCOCEM,2019Q4,42.75,1975000.0,4.5848,1.96,
RAMCOCEM,2020Q2,42.62,11532625.0,26.9122,11.47,
RAMCOCEM,2020Q3,42.61,12460625.0,29.1011,12.4,
RAMCOCEM,2020Q4,42.67,1975000.0,4.6168,1.97,
RAMCOCEM,2021Q1,42.54,13060625.0,30.583,13.01,
RAMCOCEM,2021Q2,42.52,13812625.0,32.3612,13.76,
RAMCOCEM,2021Q3,42.47,13812625.0,32.3993,13.76,
RAMCOCEM,2021Q4,42.54,13060625.0,30.583,13.01,
RAMCOCEM,2022Q1,42.33,20585125.0,48.618,20.58,
RAMCOCEM,2022Q2,42.3,21918125.0,51.844,21.93,
RAMCOCEM,2022Q3,42.3,21918125.0,51.844,21.93,
RAMCOCEM,2022Q4,42.33,20632625.0,48.7361,20.63,
RAMCOCEM,2023Q1,42.11,20985125.0,50.0831,21.09,
RAMCOCEM,2023Q2,42.11,22123989.0,52.7903,22.23,
RAMCOCEM,2023Q3,42.11,22535989.0,53.7877,22.65,
RAMCOCEM,2023Q4,42.3,22018125.0,52.0804,22.03,
RAMCOCEM,2024Q1,42.29,22074989.0,52.2346,22.09,
RAMCOCEM,2024Q2,42.29,22154989.0,52.4237,22.17,
RAMCOCEM,2024Q3,42.75,22172489.0,51.345,21.95,
RAMCOCEM,2024Q4,42.29,22274989.0,52.7075,22.29,
RAMCOCEM,2025Q1,42.56,,,,
RAMCOCEM,2025Q2,42.56,,,,
RAMCOCEM,2025Q3,42.56,,,,
RAMCOCEM,2025Q4,42.56,22172489.0,51.8092,22.05,
RAMCOCEM,2026Q4,42.56,,,,
