nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
RECLTD,2015Q1,0.0,,,,
RECLTD,2015Q2,0.0,,,,
RECLTD,2015Q3,60.64,,,,
RECLTD,2015Q4,0.0,,,,
RECLTD,2016Q1,60.64,,,,
RECLTD,2016Q2,60.64,,,,
RECLTD,2016Q3,60.64,,,,
RECLTD,2016Q4,60.64,,,,
RECLTD,2017Q1,58.86,,,,
RECLTD,2017Q2,58.86,,,,
RECLTD,2017Q3,58.32,,,,
RECLTD,2017Q4,58.86,,,,
RECLTD,2018Q1,57.95,,,,
RECLTD,2018Q2,57.99,,,,
RECLTD,2018Q3,52.85,,,,
RECLTD,2018Q4,58.32,,,,
RECLTD,2019Q1,52.63,,,,
RECLTD,2019Q2,52.63,,,,
RECLTD,2019Q3,52.63,0.0,0.0,0.0,
RECLTD,2019Q4,52.63,,,,
RECLTD,2020Q1,52.63,0.0,0.0,0.0,
RECLTD,2020Q2,52.63,0.0,0.0,0.0,
RECLTD,2020Q3,52.63,0.0,0.0,0.0,
RECLTD,2020Q4,52.63,0.0,0.0,0.0,
RECLTD,2021Q1,52.63,0.0,0.0,0.0,
RECLTD,2021Q2,52.63,0.0,0.0,0.0,
RECLTD,2021Q3,52.63,0.0,0.0,0.0,
RECLTD,2021Q4,52.63,0.0,0.0,0.0,
RECLTD,2022Q1,52.63,0.0,0.0,0.0,
RECLTD,2022Q2,52.63,0.0,0.0,0.0,
RECLTD,2022Q3,52.63,0.0,0.0,0.0,
RECLTD,2022Q4,52.63,0.0,0.0,0.0,
RECLTD,2023Q1,52.63,,,,
RECLTD,2023Q2,52.63,0.0,0.0,0.0,
RECLTD,2023Q3,52.63,0.0,0.0,0.0,
RECLTD,2023Q4,52.63,0.0,0.0,0.0,
RECLTD,2024Q1,52.63,0.0,0.0,0.0,
RECLTD,2024Q2,52.63,0.0,0.0,0.0,
RECLTD,2024Q3,52.63,0.0,0.0,0.0,
RECLTD,2024Q4,52.63,0.0,0.0,0.0,
RECLTD,2025Q1,52.63,,,,
RECLTD,2025Q2,52.63,,,,
RECLTD,2025Q3,52.63,,,,
RECLTD,2025Q4,52.63,0.0,0.0,0.0,
RECLTD,2026Q4,52.63,,,,
