nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
RELCAPITAL,2015Q1,0.0,,,,
RELCAPITAL,2015Q2,0.0,,,,
RELCAPITAL,2015Q3,52.13,,,,
RELCAPITAL,2015Q4,0.0,,,,
RELCAPITAL,2016Q1,52.13,,,,
RELCAPITAL,2016Q2,52.13,,,,
RELCAPITAL,2016Q3,52.13,,,,
RELCAPITAL,2016Q4,52.13,,,,
RELCAPITAL,2017Q1,52.27,,,,
RELCAPITAL,2017Q2,52.23,,,,
RELCAPITAL,2017Q3,52.23,,,,
RELCAPITAL,2017Q4,52.31,,,,
RELCAPITAL,2018Q1,52.23,94340242.0,137.488,71.81,
RELCAPITAL,2018Q2,52.24,97940242.0,142.7067,74.55,
RELCAPITAL,2018Q3,52.24,97940242.0,142.7067,74.55,
RELCAPITAL,2018Q4,52.23,92340242.0,134.5587,70.28,
RELCAPITAL,2019Q1,41.71,101265242.0,231.3594,96.5,
RELCAPITAL,2019Q2,40.41,98015242.0,238.5301,96.39,
RELCAPITAL,2019Q3,33.51,68215242.0,241.4503,80.91,
RELCAPITAL,2019Q4,47.48,115750242.0,204.1491,96.93,
RELCAPITAL,2020Q1,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2020Q2,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2020Q3,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2020Q4,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2021Q1,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2021Q2,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2021Q3,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2021Q4,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2022Q1,1.51,130000.0,226.4901,3.42,
RELCAPITAL,2022Q2,0.88,13000.0,65.9091,0.58,
RELCAPITAL,2022Q3,0.88,130000.0,663.6364,5.84,
RELCAPITAL,2022Q4,1.51,,,,
RELCAPITAL,2023Q1,0.88,130000.0,663.6364,5.84,
RELCAPITAL,2023Q2,0.88,130000.0,663.6364,5.84,
RELCAPITAL,2023Q3,0.88,130000.0,663.6364,5.84,
RELCAPITAL,2023Q4,0.88,130000.0,3461.3636,30.46,
RELCAPITAL,2024Q1,0.88,130000.0,663.6364,5.84,
RELCAPITAL,2024Q2,0.88,130000.0,663.6364,5.84,
RELCAPITAL,2024Q3,0.88,130000.0,663.6364,5.84,
RELCAPITAL,2024Q4,0.88,130000.0,663.6364,5.84,
