nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
SBICARD,2020Q1,69.53,0.0,0.0,0.0,
SBICARD,2020Q2,69.46,0.0,0.0,0.0,
SBICARD,2020Q3,69.4,0.0,0.0,0.0,
SBICARD,2020Q4,69.55,0.0,0.0,0.0,
SBICARD,2021Q1,69.5,0.0,0.0,0.0,
SBICARD,2021Q2,69.37,0.0,0.0,0.0,
SBICARD,2021Q3,69.47,0.0,0.0,0.0,
SBICARD,2021Q4,69.4,0.0,0.0,0.0,
SBICARD,2022Q1,69.64,0.0,0.0,0.0,
SBICARD,2022Q2,69.41,0.0,0.0,0.0,
SBICARD,2022Q3,69.05,0.0,0.0,0.0,
SBICARD,2022Q4,69.59,0.0,0.0,0.0,
SBICARD,2023Q1,68.96,0.0,0.0,0.0,
SBICARD,2023Q2,68.94,0.0,0.0,0.0,
SBICARD,2023Q3,68.75,0.0,0.0,0.0,
SBICARD,2023Q4,69.02,0.0,0.0,0.0,
SBICARD,2024Q1,68.62,0.0,0.0,0.0,
SBICARD,2024Q2,68.61,0.0,0.0,0.0,
SBICARD,2024Q3,68.6,0.0,0.0,0.0,
SBICARD,2024Q4,68.63,0.0,0.0,0.0,
SBICARD,2025Q1,68.59,,,,
SBICARD,2025Q2,68.59,,,,
SBICARD,2025Q3,68.58,,,,
SBICARD,2025Q4,68.6,0.0,0.0,0.0,
SBICARD,2026Q4,68.92,,,,
