nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
STARHEALTH,2021Q3,58.9,0.0,0.0,0.0,
STARHEALTH,2022Q1,58.84,0.0,0.0,0.0,
STARHEALTH,2022Q2,58.63,0.0,0.0,0.0,
STARHEALTH,2022Q3,58.28,0.0,0.0,0.0,
STARHEALTH,2022Q4,58.9,0.0,0.0,0.0,
STARHEALTH,2023Q1,58.25,0.0,0.0,0.0,
STARHEALTH,2023Q2,58.02,0.0,0.0,0.0,
STARHEALTH,2023Q3,57.94,0.0,0.0,0.0,
STARHEALTH,2023Q4,58.28,0.0,0.0,0.0,
STARHEALTH,2024Q1,57.9,0.0,0.0,0.0,
STARHEALTH,2024Q2,57.69,0.0,0.0,0.0,
STARHEALTH,2024Q3,57.68,0.0,0.0,0.0,
STARHEALTH,2024Q4,57.92,0.0,0.0,0.0,
STARHEALTH,2025Q1,58.04,,,,
STARHEALTH,2025Q2,58.02,,,,
STARHEALTH,2025Q3,57.98,,,,
STARHEALTH,2025Q4,57.67,0.0,0.0,0.0,
STARHEALTH,2026Q4,57.98,,,,
