nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
SUNTV,2015Q1,0.0,,,,
SUNTV,2015Q2,0.0,,,,
SUNTV,2015Q3,75.0,,,,
SUNTV,2015Q4,0.0,,,,
SUNTV,2016Q1,75.0,,,,
SUNTV,2016Q2,75.0,,,,
SUNTV,2016Q3,75.0,,,,
SUNTV,2016Q4,75.0,,,,
SUNTV,2017Q1,75.0,,,,
SUNTV,2017Q2,75.0,,,,
SUNTV,2017Q3,75.0,,,,
SUNTV,2017Q4,75.0,,,,
SUNTV,2018Q1,75.0,11756636.0,5.3067,3.98,
SUNTV,2018Q2,75.0,11091576.0,5.0,3.75,
SUNTV,2018Q3,75.0,11091576.0,5.0,3.75,
SUNTV,2018Q4,75.0,11756636.0,5.3067,3.98,
SUNTV,2019Q1,75.0,11091576.0,5.0,3.75,
SUNTV,2019Q2,75.0,10446414.0,4.7067,3.53,
SUNTV,2019Q3,75.0,10446414.0,4.7067,3.53,
SUNTV,2019Q4,75.0,11091576.0,5.0,3.75,
SUNTV,2020Q1,75.0,464000.0,0.2133,0.16,
SUNTV,2020Q2,75.0,464000.0,0.2133,0.16,
SUNTV,2020Q3,75.0,0.0,0.0,0.0,
SUNTV,2020Q4,75.0,13848643.0,6.2533,4.69,
SUNTV,2021Q1,75.0,0.0,0.0,0.0,
SUNTV,2021Q2,75.0,0.0,0.0,0.0,
SUNTV,2021Q3,75.0,0.0,0.0,0.0,
SUNTV,2021Q4,75.0,0.0,0.0,0.0,
SUNTV,2022Q1,75.0,0.0,0.0,0.0,
SUNTV,2022Q2,75.0,0.0,0.0,0.0,
SUNTV,2022Q3,75.0,0.0,0.0,0.0,
SUNTV,2022Q4,75.0,0.0,0.0,0.0,
SUNTV,2023Q1,75.0,0.0,0.0,0.0,
SUNTV,2023Q2,75.0,0.0,0.0,0.0,
SUNTV,2023Q3,75.0,0.0,0.0,0.0,
SUNTV,2023Q4,75.0,0.0,0.0,0.0,
SUNTV,2024Q1,75.0,0.0,0.0,0.0,
SUNTV,2024Q2,75.0,0.0,0.0,0.0,
SUNTV,2024Q3,75.0,0.0,0.0,0.0,
SUNTV,2024Q4,75.0,0.0,0.0,0.0,
SUNTV,2025Q1,75.0,,,,
SUNTV,2025Q2,75.0,,,,
SUNTV,2025Q3,75.0,,,,
SUNTV,2025Q4,75.0,0.0,0.0,0.0,
SUNTV,2026Q4,75.0,,,,
