nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
TATACOMM,2015Q1,0.0,,,,
TATACOMM,2015Q2,0.0,,,,
TATACOMM,2015Q3,74.99,,,,
TATACOMM,2015Q4,0.0,,,,
TATACOMM,2016Q1,74.99,,,,
TATACOMM,2016Q2,74.99,,,,
TATACOMM,2016Q3,74.99,,,,
TATACOMM,2016Q4,74.99,,,,
TATACOMM,2017Q1,74.99,,,,
TATACOMM,2017Q2,74.99,,,,
TATACOMM,2017Q3,74.99,,,,
TATACOMM,2017Q4,74.99,,,,
TATACOMM,2018Q1,74.99,6825000.0,4.2539,3.19,
TATACOMM,2018Q2,74.99,6825000.0,4.2539,3.19,
TATACOMM,2018Q3,74.99,6825000.0,4.2539,3.19,
TATACOMM,2018Q4,74.99,6825000.0,4.2539,3.19,
TATACOMM,2019Q1,74.99,6825000.0,4.2539,3.19,
TATACOMM,2019Q2,74.99,6825000.0,4.2539,3.19,
TATACOMM,2019Q3,74.99,8325000.0,5.2007,3.9,
TATACOMM,2019Q4,74.99,6825000.0,4.2539,3.19,
TATACOMM,2020Q1,74.99,8325000.0,5.2007,3.9,
TATACOMM,2020Q2,74.99,8325000.0,5.2007,3.9,
TATACOMM,2020Q3,74.99,8325000.0,5.2007,3.9,
TATACOMM,2020Q4,74.99,8325000.0,5.2007,3.9,
TATACOMM,2021Q1,58.86,8325000.0,8.4268,4.96,
TATACOMM,2021Q2,58.86,8325000.0,8.4268,4.96,
TATACOMM,2021Q3,58.86,8325000.0,8.4268,4.96,
TATACOMM,2021Q4,58.86,8325000.0,8.4268,4.96,
TATACOMM,2022Q1,58.86,8325000.0,8.4268,4.96,
TATACOMM,2022Q2,58.86,8325000.0,8.4268,4.96,
TATACOMM,2022Q3,58.86,8325000.0,8.4268,4.96,
TATACOMM,2022Q4,58.86,8325000.0,8.4268,4.96,
TATACOMM,2023Q1,58.86,8325000.0,8.4268,4.96,
TATACOMM,2023Q2,58.86,8325000.0,8.4268,4.96,
TATACOMM,2023Q3,58.86,5262000.0,5.3347,3.14,
TATACOMM,2023Q4,58.86,8325000.0,8.4268,4.96,
TATACOMM,2024Q1,58.86,0.0,0.0,0.0,
TATACOMM,2024Q2,58.86,0.0,0.0,0.0,
TATACOMM,2024Q3,58.86,0.0,0.0,0.0,
TATACOMM,2024Q4,58.86,0.0,0.0,0.0,
TATACOMM,2025Q1,58.86,,,,
TATACOMM,2025Q2,58.86,,,,
TATACOMM,2025Q3,58.86,,,,
TATACOMM,2025Q4,58.86,0.0,0.0,0.0,
