nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
TATASTEEL,2015Q1,0.0,,,,
TATASTEEL,2015Q2,0.0,,,,
TATASTEEL,2015Q3,31.35,,,,
TATASTEEL,2015Q4,0.0,,,,
TATASTEEL,2016Q1,31.35,,,,
TATASTEEL,2016Q2,31.35,,,,
TATASTEEL,2016Q3,31.35,,,,
TATASTEEL,2016Q4,31.35,,,,
TATASTEEL,2017Q1,31.35,,,,
TATASTEEL,2017Q2,31.35,,,,
TATASTEEL,2017Q3,31.35,,,,
TATASTEEL,2017Q4,31.35,,,,
TATASTEEL,2018Q1,33.12,13980000.0,10.5978,3.51,
TATASTEEL,2018Q2,33.12,13980000.0,10.5978,3.51,
TATASTEEL,2018Q3,33.12,13980000.0,10.5978,3.51,
TATASTEEL,2018Q4,33.21,13980000.0,10.539,3.5,
TATASTEEL,2019Q1,33.12,13980000.0,10.5978,3.51,
TATASTEEL,2019Q2,33.12,13980000.0,10.5978,3.51,
TATASTEEL,2019Q3,33.12,13980000.0,10.5978,3.51,
TATASTEEL,2019Q4,33.12,13980000.0,10.5978,3.51,
TATASTEEL,2020Q1,34.41,13980000.0,9.7937,3.37,
TATASTEEL,2020Q2,34.41,13980000.0,9.7937,3.37,
TATASTEEL,2020Q3,34.41,13980000.0,9.7937,3.37,
TATASTEEL,2020Q4,34.41,13980000.0,9.7937,3.37,
TATASTEEL,2021Q1,34.41,6420000.0,4.5045,1.55,
TATASTEEL,2021Q2,34.41,6420000.0,4.5045,1.55,
TATASTEEL,2021Q3,33.92,6420000.0,4.5696,1.55,
TATASTEEL,2021Q4,34.41,13980000.0,9.7937,3.37,
TATASTEEL,2022Q1,33.92,6420000.0,4.5696,1.55,
TATASTEEL,2022Q2,33.92,64200000.0,4.5696,1.55,
TATASTEEL,2022Q3,33.9,64200000.0,4.5723,1.55,
TATASTEEL,2022Q4,33.92,6420000.0,4.5696,1.55,
TATASTEEL,2023Q1,33.9,64200000.0,4.5723,1.55,
TATASTEEL,2023Q2,33.9,64200000.0,4.5723,1.55,
TATASTEEL,2023Q3,33.7,64200000.0,4.5994,1.55,
TATASTEEL,2023Q4,33.9,64200000.0,4.5723,1.55,
TATASTEEL,2024Q1,33.19,0.0,0.0,0.0,
TATASTEEL,2024Q2,33.19,0.0,0.0,0.0,
TATASTEEL,2024Q3,33.19,0.0,0.0,0.0,
TATASTEEL,2024Q4,33.46,0.0,0.0,0.0,
TATASTEEL,2025Q1,33.19,,,,
TATASTEEL,2025Q2,33.19,,,,
TATASTEEL,2025Q3,33.19,,,,
TATASTEEL,2025Q4,33.19,0.0,0.0,0.0,
