nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
TCS,2015Q1,0.0,,,,
TCS,2015Q2,0.0,,,,
TCS,2015Q3,73.42,,,,
TCS,2015Q4,0.0,,,,
TCS,2016Q1,73.34,,,,
TCS,2016Q2,73.33,,,,
TCS,2016Q3,73.33,,,,
TCS,2016Q4,73.42,,,,
TCS,2017Q1,73.57,,,,
TCS,2017Q2,73.57,,,,
TCS,2017Q3,73.57,,,,
TCS,2017Q4,73.31,,,,
TCS,2018Q1,71.92,,,,
TCS,2018Q2,72.05,79604930.0,4.0805,2.94,
TCS,2018Q3,72.05,79604930.0,4.0805,2.94,
TCS,2018Q4,71.92,40700000.0,4.1157,2.96,
TCS,2019Q1,72.05,79604930.0,4.0805,2.94,
TCS,2019Q2,72.05,79604930.0,4.0805,2.94,
TCS,2019Q3,72.05,79604930.0,4.0805,2.94,
TCS,2019Q4,72.05,79604930.0,4.0805,2.94,
TCS,2020Q1,72.05,79604930.0,4.0805,2.94,
TCS,2020Q2,72.05,79604930.0,4.0805,2.94,
TCS,2020Q3,72.05,79604930.0,4.0805,2.94,
TCS,2020Q4,72.05,79604930.0,4.0805,2.94,
TCS,2021Q1,72.19,12633090.0,0.6511,0.47,
TCS,2021Q2,72.19,12633090.0,0.6511,0.47,
TCS,2021Q3,72.19,12633090.0,0.6511,0.47,
TCS,2021Q4,72.19,12633090.0,0.6511,0.47,
TCS,2022Q1,72.3,12633090.0,0.6639,0.48,
TCS,2022Q2,72.3,12633090.0,0.6639,0.48,
TCS,2022Q3,72.3,12633090.0,0.6639,0.48,
TCS,2022Q4,72.3,12633090.0,0.6639,0.48,
TCS,2023Q1,72.3,12633090.0,0.6639,0.48,
TCS,2023Q2,72.3,12633090.0,0.6639,0.48,
TCS,2023Q3,72.41,12633090.0,0.6629,0.48,
TCS,2023Q4,72.3,12633090.0,0.6639,0.48,
TCS,2024Q1,71.77,7160000.0,0.3901,0.28,
TCS,2024Q2,71.77,7160000.0,0.3901,0.28,
TCS,2024Q3,71.77,0.0,0.0,0.0,
TCS,2024Q4,71.77,7160000.0,0.3901,0.28,
TCS,2025Q1,71.77,,,,
TCS,2025Q2,71.77,,,,
TCS,2025Q3,71.77,,,,
TCS,2025Q4,71.77,0.0,0.0,0.0,
