nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
TECHM,2015Q1,0.0,,,,
TECHM,2015Q2,0.0,,,,
TECHM,2015Q3,36.48,,,,
TECHM,2015Q4,0.0,,,,
TECHM,2016Q1,36.32,,,,
TECHM,2016Q2,36.29,,,,
TECHM,2016Q3,36.24,,,,
TECHM,2016Q4,36.44,,,,
TECHM,2017Q1,36.16,,,,
TECHM,2017Q2,36.12,,,,
TECHM,2017Q3,36.01,,,,
TECHM,2017Q4,36.21,,,,
TECHM,2018Q1,35.98,,,,
TECHM,2018Q2,35.96,,,,
TECHM,2018Q3,35.94,,,,
TECHM,2018Q4,36.0,,,,
TECHM,2019Q1,35.9,,,,
TECHM,2019Q2,35.88,,,,
TECHM,2019Q3,35.87,0.0,0.0,0.0,
TECHM,2019Q4,35.87,,,,
TECHM,2020Q1,35.83,0.0,0.0,0.0,
TECHM,2020Q2,35.82,0.0,0.0,0.0,
TECHM,2020Q3,35.79,0.0,0.0,0.0,
TECHM,2020Q4,35.85,0.0,0.0,0.0,
TECHM,2021Q1,35.73,0.0,0.0,0.0,
TECHM,2021Q2,35.7,0.0,0.0,0.0,
TECHM,2021Q3,35.67,0.0,0.0,0.0,
TECHM,2021Q4,35.76,0.0,0.0,0.0,
TECHM,2022Q1,35.24,0.0,0.0,0.0,
TECHM,2022Q2,35.22,0.0,0.0,0.0,
TECHM,2022Q3,35.19,0.0,0.0,0.0,
TECHM,2022Q4,35.26,0.0,0.0,0.0,
TECHM,2023Q1,35.16,0.0,0.0,0.0,
TECHM,2023Q2,35.13,0.0,0.0,0.0,
TECHM,2023Q3,35.11,0.0,0.0,0.0,
TECHM,2023Q4,35.18,0.0,0.0,0.0,
TECHM,2024Q1,35.05,0.0,0.0,0.0,
TECHM,2024Q2,35.03,0.0,0.0,0.0,
TECHM,2024Q3,35.01,0.0,0.0,0.0,
TECHM,2024Q4,35.09,0.0,0.0,0.0,
TECHM,2025Q1,35.0,,,,
TECHM,2025Q2,34.98,,,,
TECHM,2025Q3,34.98,,,,
TECHM,2025Q4,35.01,0.0,0.0,0.0,
