nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
TORNTPHARM,2015Q1,0.0,,,,
TORNTPHARM,2015Q2,0.0,,,,
TORNTPHARM,2015Q3,71.25,,,,
TORNTPHARM,2015Q4,0.0,,,,
TORNTPHARM,2016Q1,71.25,,,,
TORNTPHARM,2016Q2,71.25,,,,
TORNTPHARM,2016Q3,71.25,,,,
TORNTPHARM,2016Q4,71.25,,,,
TORNTPHARM,2017Q1,71.25,,,,
TORNTPHARM,2017Q2,71.25,,,,
TORNTPHARM,2017Q3,71.25,,,,
TORNTPHARM,2017Q4,71.25,,,,
TORNTPHARM,2018Q1,71.25,,,,
TORNTPHARM,2018Q2,71.25,,,,
TORNTPHARM,2018Q3,71.25,,,,
TORNTPHARM,2018Q4,71.25,,,,
TORNTPHARM,2019Q1,71.25,,,,
TORNTPHARM,2019Q2,71.25,43997907.0,51.214,36.49,
TORNTPHARM,2019Q3,71.25,43997907.0,51.214,36.49,
TORNTPHARM,2019Q4,71.25,,,,
TORNTPHARM,2020Q1,71.25,0.0,0.0,0.0,
TORNTPHARM,2020Q2,71.25,0.0,0.0,0.0,
TORNTPHARM,2020Q3,71.25,0.0,0.0,0.0,
TORNTPHARM,2020Q4,71.25,43997907.0,51.214,36.49,
TORNTPHARM,2021Q1,71.25,0.0,0.0,0.0,
TORNTPHARM,2021Q2,71.25,0.0,0.0,0.0,
TORNTPHARM,2021Q3,71.25,0.0,0.0,0.0,
TORNTPHARM,2021Q4,71.25,0.0,0.0,0.0,
TORNTPHARM,2022Q1,71.25,0.0,0.0,0.0,
TORNTPHARM,2022Q2,71.25,0.0,0.0,0.0,
TORNTPHARM,2022Q3,71.25,0.0,0.0,0.0,
TORNTPHARM,2022Q4,71.25,0.0,0.0,0.0,
TORNTPHARM,2023Q1,71.25,0.0,0.0,0.0,
TORNTPHARM,2023Q2,71.25,0.0,0.0,0.0,
TORNTPHARM,2023Q3,71.25,0.0,0.0,0.0,
TORNTPHARM,2023Q4,71.25,0.0,0.0,0.0,
TORNTPHARM,2024Q1,71.25,0.0,0.0,0.0,
TORNTPHARM,2024Q2,71.25,0.0,0.0,0.0,
TORNTPHARM,2024Q3,68.31,0.0,0.0,0.0,
TORNTPHARM,2024Q4,71.25,0.0,0.0,0.0,
TORNTPHARM,2025Q1,68.31,,,,
TORNTPHARM,2025Q2,68.31,,,,
TORNTPHARM,2025Q3,68.31,,,,
TORNTPHARM,2025Q4,68.31,0.0,0.0,0.0,
TORNTPHARM,2026Q4,68.31,,,,
