nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
ULTRACEMCO,2015Q1,0.0,,,,
ULTRACEMCO,2015Q2,0.0,,,,
ULTRACEMCO,2015Q3,62.67,,,,
ULTRACEMCO,2015Q4,0.0,,,,
ULTRACEMCO,2016Q1,62.27,,,,
ULTRACEMCO,2016Q2,62.26,,,,
ULTRACEMCO,2016Q3,62.26,,,,
ULTRACEMCO,2016Q4,62.5,,,,
ULTRACEMCO,2017Q1,62.14,,,,
ULTRACEMCO,2017Q2,62.13,,,,
ULTRACEMCO,2017Q3,62.05,,,,
ULTRACEMCO,2017Q4,62.16,,,,
ULTRACEMCO,2018Q1,61.98,,,,
ULTRACEMCO,2018Q2,61.69,,,,
ULTRACEMCO,2018Q3,61.69,,,,
ULTRACEMCO,2018Q4,61.98,,,,
ULTRACEMCO,2019Q1,61.68,,,,
ULTRACEMCO,2019Q2,61.68,,,,
ULTRACEMCO,2019Q3,61.11,,,,
ULTRACEMCO,2019Q4,61.69,,,,
ULTRACEMCO,2020Q2,59.91,0.0,0.0,0.0,
ULTRACEMCO,2020Q3,59.97,0.0,0.0,0.0,
ULTRACEMCO,2020Q4,60.04,0.0,0.0,0.0,
ULTRACEMCO,2021Q1,59.96,0.0,0.0,0.0,
ULTRACEMCO,2021Q2,59.96,0.0,0.0,0.0,
ULTRACEMCO,2021Q3,59.96,0.0,0.0,0.0,
ULTRACEMCO,2021Q4,59.96,0.0,0.0,0.0,
ULTRACEMCO,2022Q1,59.96,0.0,0.0,0.0,
ULTRACEMCO,2022Q2,59.96,0.0,0.0,0.0,
ULTRACEMCO,2022Q3,59.96,0.0,0.0,0.0,
ULTRACEMCO,2022Q4,59.96,0.0,0.0,0.0,
ULTRACEMCO,2023Q1,59.96,0.0,0.0,0.0,
ULTRACEMCO,2023Q2,59.96,0.0,0.0,0.0,
ULTRACEMCO,2023Q3,59.96,0.0,0.0,0.0,
ULTRACEMCO,2023Q4,59.96,0.0,0.0,0.0,
ULTRACEMCO,2024Q1,59.99,0.0,0.0,0.0,
ULTRACEMCO,2024Q2,59.99,0.0,0.0,0.0,
ULTRACEMCO,2024Q3,60.0,0.0,0.0,0.0,
ULTRACEMCO,2024Q4,59.95,0.0,0.0,0.0,
ULTRACEMCO,2025Q1,59.23,,,,
ULTRACEMCO,2025Q2,59.23,,,,
ULTRACEMCO,2025Q3,59.29,,,,
ULTRACEMCO,2025Q4,59.23,0.0,0.0,0.0,
ULTRACEMCO,2026Q4,59.33,,,,
