nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
UNIONBANK,2015Q1,0.0,,,,
UNIONBANK,2015Q2,0.0,,,,
UNIONBANK,2015Q3,63.44,,,,
UNIONBANK,2015Q4,0.0,,,,
UNIONBANK,2016Q1,63.44,,,,
UNIONBANK,2016Q2,63.44,,,,
UNIONBANK,2016Q3,63.44,,,,
UNIONBANK,2016Q4,63.44,,,,
UNIONBANK,2017Q1,63.44,,,,
UNIONBANK,2017Q2,65.4,,,,
UNIONBANK,2017Q3,55.52,,,,
UNIONBANK,2017Q4,63.44,,,,
UNIONBANK,2018Q1,67.43,,,,
UNIONBANK,2018Q2,67.43,,,,
UNIONBANK,2018Q3,67.43,,,,
UNIONBANK,2018Q4,67.43,,,,
UNIONBANK,2019Q1,74.27,,,,
UNIONBANK,2019Q2,74.27,,,,
UNIONBANK,2019Q3,86.75,0.0,0.0,0.0,
UNIONBANK,2019Q4,74.27,,,,
UNIONBANK,2020Q1,89.07,0.0,0.0,0.0,
UNIONBANK,2020Q2,89.07,0.0,0.0,0.0,
UNIONBANK,2020Q3,89.07,0.0,0.0,0.0,
UNIONBANK,2020Q4,86.75,0.0,0.0,0.0,
UNIONBANK,2021Q1,83.49,0.0,0.0,0.0,
UNIONBANK,2021Q2,83.49,0.0,0.0,0.0,
UNIONBANK,2021Q3,83.49,0.0,0.0,0.0,
UNIONBANK,2021Q4,89.07,0.0,0.0,0.0,
UNIONBANK,2022Q1,83.49,0.0,0.0,0.0,
UNIONBANK,2022Q2,83.49,0.0,0.0,0.0,
UNIONBANK,2022Q3,83.49,0.0,0.0,0.0,
UNIONBANK,2022Q4,83.49,0.0,0.0,0.0,
UNIONBANK,2023Q1,83.49,0.0,0.0,0.0,
UNIONBANK,2023Q2,76.99,0.0,0.0,0.0,
UNIONBANK,2023Q3,76.99,0.0,0.0,0.0,
UNIONBANK,2023Q4,83.49,0.0,0.0,0.0,
UNIONBANK,2024Q1,74.76,0.0,0.0,0.0,
UNIONBANK,2024Q2,74.76,0.0,0.0,0.0,
UNIONBANK,2024Q3,74.76,0.0,0.0,0.0,
UNIONBANK,2024Q4,74.76,0.0,0.0,0.0,
UNIONBANK,2025Q1,74.76,,,,
UNIONBANK,2025Q2,74.76,,,,
UNIONBANK,2025Q3,74.76,,,,
UNIONBANK,2025Q4,74.76,0.0,0.0,0.0,
UNIONBANK,2026Q4,74.76,,,,
