nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
WIPRO,2015Q1,0.0,,,,
WIPRO,2015Q2,0.0,,,,
WIPRO,2015Q3,73.35,,,,
WIPRO,2015Q4,0.0,,,,
WIPRO,2016Q1,55.51,,,,
WIPRO,2016Q2,73.25,,,,
WIPRO,2016Q3,73.25,,,,
WIPRO,2016Q4,73.34,,,,
WIPRO,2017Q1,73.18,,,,
WIPRO,2017Q2,73.18,,,,
WIPRO,2017Q3,74.33,,,,
WIPRO,2017Q4,73.25,,,,
WIPRO,2018Q1,74.31,,,,
WIPRO,2018Q2,74.31,,,,
WIPRO,2018Q3,74.3,,,,
WIPRO,2018Q4,74.32,,,,
WIPRO,2019Q1,73.83,,,,
WIPRO,2019Q2,74.04,,,,
WIPRO,2019Q3,74.04,0.0,0.0,0.0,
WIPRO,2019Q4,74.29,,,,
WIPRO,2020Q1,74.02,0.0,0.0,0.0,
WIPRO,2020Q2,74.02,0.0,0.0,0.0,
WIPRO,2020Q3,74.01,0.0,0.0,0.0,
WIPRO,2020Q4,74.04,0.0,0.0,0.0,
WIPRO,2021Q1,73.02,0.0,0.0,0.0,
WIPRO,2021Q2,73.02,0.0,0.0,0.0,
WIPRO,2021Q3,73.01,0.0,0.0,0.0,
WIPRO,2021Q4,73.04,0.0,0.0,0.0,
WIPRO,2022Q1,73.0,0.0,0.0,0.0,
WIPRO,2022Q2,72.95,0.0,0.0,0.0,
WIPRO,2022Q3,72.94,0.0,0.0,0.0,
WIPRO,2022Q4,73.0,0.0,0.0,0.0,
WIPRO,2023Q1,72.91,0.0,0.0,0.0,
WIPRO,2023Q2,72.97,,,,
WIPRO,2023Q3,72.9,0.0,0.0,0.0,
WIPRO,2023Q4,72.92,0.0,0.0,0.0,
WIPRO,2024Q1,72.82,0.0,0.0,0.0,
WIPRO,2024Q2,72.8,0.0,0.0,0.0,
WIPRO,2024Q3,72.75,0.0,0.0,0.0,
WIPRO,2024Q4,72.89,0.0,0.0,0.0,
WIPRO,2025Q1,72.66,,,,
WIPRO,2025Q2,72.65,,,,
WIPRO,2025Q3,72.63,,,,
WIPRO,2025Q4,72.73,0.0,0.0,0.0,
