nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
ZEEMEDIA,2015Q1,0.0,,,,
ZEEMEDIA,2015Q2,0.0,,,,
ZEEMEDIA,2015Q3,69.11,,,,
ZEEMEDIA,2015Q4,0.0,,,,
ZEEMEDIA,2016Q1,69.11,,,,
ZEEMEDIA,2016Q2,69.11,,,,
ZEEMEDIA,2016Q3,69.11,,,,
ZEEMEDIA,2016Q4,69.11,,,,
ZEEMEDIA,2017Q1,69.11,,,,
ZEEMEDIA,2017Q2,69.11,,,,
ZEEMEDIA,2017Q3,69.11,,,,
ZEEMEDIA,2017Q4,69.11,,,,
ZEEMEDIA,2018Q1,67.02,200299724.0,94.718,63.48,
ZEEMEDIA,2018Q2,67.02,230074591.0,108.8033,72.92,
ZEEMEDIA,2018Q3,67.02,231524591.0,109.4897,73.38,
ZEEMEDIA,2018Q4,69.11,,,,
ZEEMEDIA,2019Q1,55.12,242758179.0,169.7206,93.55,
ZEEMEDIA,2019Q2,51.29,241059783.0,194.6188,99.82,
ZEEMEDIA,2019Q3,45.89,215614863.0,217.4766,99.8,
ZEEMEDIA,2019Q4,57.74,255084691.0,162.5216,93.84,
ZEEMEDIA,2020Q1,36.75,172573530.0,271.4286,99.75,
ZEEMEDIA,2020Q2,25.85,121272993.0,385.4932,99.65,
ZEEMEDIA,2020Q3,18.12,84874326.0,549.117,99.5,
ZEEMEDIA,2020Q4,44.86,210784863.0,222.4699,99.8,
ZEEMEDIA,2021Q1,14.72,68874326.0,675.1359,99.38,
ZEEMEDIA,2021Q2,8.52,,,,
ZEEMEDIA,2021Q3,8.52,52874326.0,1164.2019,99.19,
ZEEMEDIA,2021Q4,18.12,84874326.0,549.117,99.5,
ZEEMEDIA,2022Q1,4.34,26690000.0,2267.5115,98.41,
ZEEMEDIA,2022Q2,4.34,26690000.0,2267.5115,98.41,
ZEEMEDIA,2022Q3,4.34,26690000.0,2267.5115,98.41,
ZEEMEDIA,2022Q4,8.52,52874326.0,1164.2019,99.19,
ZEEMEDIA,2023Q1,4.34,26690000.0,2267.5115,98.41,
ZEEMEDIA,2023Q2,0.07,0.0,0.0,0.0,
ZEEMEDIA,2023Q3,0.07,0.0,0.0,0.0,
ZEEMEDIA,2023Q4,4.34,26690000.0,2267.5115,98.41,
ZEEMEDIA,2024Q1,0.42,0.0,0.0,0.0,
ZEEMEDIA,2024Q2,1.62,0.0,0.0,0.0,
ZEEMEDIA,2024Q3,1.62,0.0,0.0,0.0,
ZEEMEDIA,2024Q4,0.07,0.0,0.0,0.0,
ZEEMEDIA,2025Q1,3.9,,,,
ZEEMEDIA,2025Q2,6.3,,,,
ZEEMEDIA,2025Q3,9.48,,,,
ZEEMEDIA,2025Q4,1.62,0.0,0.0,0.0,
