date,close,high,low,open,volume,symbol
2017-09-18,575.40869140625,601.7657847998873,542.2658057794217,542.2658057794217,30096870,DIXON
2017-09-19,575.5977783203125,595.9949338182665,571.597926443058,586.2441106528405,3969920,DIXON
2017-09-20,558.5536499023438,574.7022059482929,547.8078447237036,574.7022059482929,2513620,DIXON
2017-09-21,550.0963134765625,557.9069066880642,534.1069274280027,557.9069066880642,1599700,DIXON
2017-09-22,529.2612915039062,555.2900803790745,524.3560326792189,555.2900803790745,941685,DIXON
2017-09-25,519.9283447265625,538.4051859765646,498.7551080993202,521.3710821952193,1658850,DIXON
2017-09-26,524.3460693359375,533.1118669342056,520.5949640793623,520.5949640793623,531745,DIXON
2017-09-27,517.3514404296875,539.0420601108966,511.40140012824696,528.9329976915697,678235,DIXON
2017-09-28,524.13720703125,529.3309894697619,515.5106601509519,518.9831413238871,333980,DIXON
2017-09-29,527.09228515625,534.0870453389875,525.3510647711184,526.5450566095697,292770,DIXON
2017-10-03,536.47509765625,540.2759412152582,513.1726053725853,530.3261080437064,405650,DIXON
2017-10-04,541.8280029296875,547.0417047381039,532.7139843127454,539.3107272266093,394840,DIXON
2017-10-05,536.7236938476562,545.4497145395716,534.7039098560048,540.2757905870557,365310,DIXON
2017-10-06,532.7537841796875,546.2457533636648,530.0275400452881,537.5396507371946,246925,DIXON
2017-10-09,523.6895141601562,539.2709240390094,517.6897364345531,532.7140188906899,226765,DIXON
2017-10-10,529.8782958984375,533.5697054668874,521.7692191810639,524.3561512333274,243150,DIXON
2017-10-11,530.8135986328125,548.2357648700905,527.5898626540209,546.2457983914331,605790,DIXON
2017-10-12,545.7880249023438,548.0366964953903,531.3209920377458,536.4949164655515,417460,DIXON
2017-10-13,544.0667724609375,554.6036714884871,541.2907911377152,546.4447969332688,245930,DIXON
2017-10-16,531.6891479492188,546.3353316875026,529.3907392718675,545.2507733191031,148510,DIXON
2017-10-17,527.5699462890625,533.7090366323735,523.7691030076618,528.5351116152692,113105,DIXON
2017-10-18,529.8683471679688,533.3110110044142,524.2367688098199,526.4456024293792,91700,DIXON
2017-10-19,528.3060913085938,534.6939258565362,523.3809740701956,529.3309529425667,24115,DIXON
2017-10-23,528.5252075195312,531.3907644226163,526.5551599220219,528.3361582540858,142015,DIXON
2017-10-24,549.2903442382812,558.1854952005821,527.7290783885599,529.1121194132909,639245,DIXON
2017-10-25,550.8525390625,558.32487241021,533.3109808598567,553.2106443247768,252415,DIXON
2017-10-26,548.0864868164062,552.9022323603526,541.8678416418126,541.8877607396374,178670,DIXON
2017-10-27,544.7135009765625,550.2256858037467,541.2708373910276,550.2256858037467,133125,DIXON
2017-10-30,544.5940551757812,553.2105817608888,543.2607511536786,545.2507172751207,314770,DIXON
2017-10-31,542.1264038085938,549.0315880157893,532.3158863473069,543.2606989637936,246730,DIXON
2017-11-01,539.7385864257812,545.688566284794,538.2858891508624,543.0617961694419,33920,DIXON
2017-11-02,538.0869140625,545.250805403372,537.29093963106,543.6389374427954,46935,DIXON
2017-11-03,534.9725341796875,540.0768022246659,533.9278140942888,540.0569438588038,60235,DIXON
2017-11-06,535.778564453125,541.2708914615159,531.1320096500177,534.9029743292087,58490,DIXON
2017-11-07,530.8434448242188,537.8878820031207,527.3410846026492,537.091907606115,66220,DIXON
2017-11-08,533.957763671875,539.0421132974908,527.5401098247835,529.5400357925192,65540,DIXON
2017-11-09,532.8333129882812,541.2707493537696,529.3309534121423,529.9279189176466,66975,DIXON
2017-11-10,536.355712890625,540.057082467292,529.1321241786627,529.1321241786627,88865,DIXON
2017-11-13,538.2559204101562,542.2657310206231,533.9974247804572,536.2958330644328,82995,DIXON
2017-11-14,543.4995727539062,547.2407190224006,534.6641177411922,534.6641177411922,90555,DIXON
2017-11-15,535.291015625,551.131131566558,530.326059047734,547.2407738766486,145830,DIXON
2017-11-16,549.9273071289062,555.9966812440458,532.7240062210122,537.2910064969808,1186690,DIXON
2017-11-17,575.90625,580.871206679285,547.8676294243529,552.0166925547095,1256850,DIXON
2017-11-20,620.2725219726562,624.0534458088807,569.140323156722,578.4832295398601,2037710,DIXON
2017-11-21,614.521484375,631.6152874968849,604.293089236464,623.6554223470087,954445,DIXON
2017-11-22,618.0836181640625,625.7051632754195,599.188895623312,617.596086079426,469015,DIXON
2017-11-23,636.052978515625,640.3711716522141,611.7853233734456,616.9492886785335,842365,DIXON
2017-11-24,643.77392578125,646.7389557141854,627.0383042859112,637.4259293268476,440410,DIXON
2017-11-27,655.465087890625,656.6888977668343,636.1524303889953,640.9681756933585,447990,DIXON
2017-11-28,669.5440673828125,673.4046069962576,654.6989352769915,655.693918461303,571020,DIXON
2017-11-29,686.0509033203125,696.4783082390737,667.6337538368824,668.8277458703108,731140,DIXON
2017-11-30,700.3984375,707.6120648844121,680.5684318534969,683.5533811160122,682690,DIXON
2017-12-01,677.0462036132812,721.1239415947044,667.6535609764284,702.4580494314248,547360,DIXON
2017-12-04,674.67822265625,695.4932541158089,661.2658078763245,678.9765573511356,268340,DIXON
2017-12-05,675.076171875,681.5634816739797,668.628700269948,674.5985993795011,232155,DIXON
